Cruise,Subregion,Season,Station,Date,datetime,decimaldate,Latitude,Longitude,degree_bin,CampCN,Z_MLD,Z_XML,Target_Z,PhytoC,sd_PhytoC
AT32,Subtropical,Late Autumn,7,11/24/15,2015-11-24T11:17:00Z,2015.897178,40.5,-40.483,40,26,26.8,25.6,150,,
AT32,Subtropical,Late Autumn,7,11/24/15,2015-11-24T11:17:00Z,2015.897178,40.5,-40.483,40,26,26.8,25.6,200,,
AT32,Subtropical,Late Autumn,7,11/24/15,2015-11-24T11:17:00Z,2015.897178,40.5,-40.483,40,26,26.8,25.6,300,,
AT32,Subtropical,Late Autumn,7,11/24/15,2015-11-24T11:17:00Z,2015.897178,40.5,-40.483,40,26,26.8,25.6,400,,
AT32,Subtropical,Late Autumn,7,11/24/15,2015-11-24T11:17:00Z,2015.897178,40.5,-40.483,40,26,26.8,25.6,484,,
AT32,Subtropical,Late Autumn,7,11/24/15,2015-11-24T11:17:00Z,2015.897178,40.5,-40.483,40,26,26.8,25.6,500,,
AT32,Subtropical,Late Autumn,7,11/24/15,2015-11-24T11:17:00Z,2015.897178,40.5,-40.483,40,26,26.8,25.6,750,,
AT32,Subtropical,Late Autumn,7,11/24/15,2015-11-24T11:17:00Z,2015.897178,40.5,-40.483,40,26,26.8,25.6,1000,,
AT32,Subtropical,Late Autumn,7,11/24/15,2015-11-24T11:17:00Z,2015.897178,40.5,-40.483,40,26,26.8,25.6,1250,,
AT32,Subtropical,Late Autumn,7,11/24/15,2015-11-24T11:17:00Z,2015.897178,40.5,-40.483,40,26,26.8,25.6,1500,,
AT32,Subtropical,Late Autumn,7,11/25/15,2015-11-25T10:01:00Z,2015.899774,40.689,-40.441,41,29,37.4,36.3,0,15.83248,
AT32,Subtropical,Late Autumn,7,11/25/15,2015-11-25T10:01:00Z,2015.899774,40.689,-40.441,41,29,37.4,36.3,5,,
AT32,Subtropical,Late Autumn,7,11/25/15,2015-11-25T10:01:00Z,2015.899774,40.689,-40.441,41,29,37.4,36.3,10,,
AT32,Subtropical,Late Autumn,7,11/25/15,2015-11-25T10:01:00Z,2015.899774,40.689,-40.441,41,29,37.4,36.3,25,,
AT32,Subtropical,Late Autumn,7,11/25/15,2015-11-25T10:01:00Z,2015.899774,40.689,-40.441,41,29,37.4,36.3,37.4,,
AT32,Subtropical,Late Autumn,7,11/25/15,2015-11-25T10:01:00Z,2015.899774,40.689,-40.441,41,29,37.4,36.3,50,,
AT32,Subtropical,Late Autumn,7,11/25/15,2015-11-25T10:01:00Z,2015.899774,40.689,-40.441,41,29,37.4,36.3,75,,
AT32,Subtropical,Late Autumn,7,11/25/15,2015-11-25T10:01:00Z,2015.899774,40.689,-40.441,41,29,37.4,36.3,100,,
AT32,Subtropical,Late Autumn,7,11/25/15,2015-11-25T10:01:00Z,2015.899774,40.689,-40.441,41,29,37.4,36.3,150,,
AT32,Subtropical,Late Autumn,7,11/25/15,2015-11-25T10:01:00Z,2015.899774,40.689,-40.441,41,29,37.4,36.3,200,,
AT32,Subtropical,Late Autumn,7,11/25/15,2015-11-25T10:01:00Z,2015.899774,40.689,-40.441,41,29,37.4,36.3,300,,
AT32,Subtropical,Late Autumn,7,11/25/15,2015-11-25T10:01:00Z,2015.899774,40.689,-40.441,41,29,37.4,36.3,400,,
AT32,Subtropical,Late Autumn,7,11/25/15,2015-11-25T10:01:00Z,2015.899774,40.689,-40.441,41,29,37.4,36.3,478,,
AT32,Subtropical,Late Autumn,7,11/25/15,2015-11-25T10:01:00Z,2015.899774,40.689,-40.441,41,29,37.4,36.3,500,,
AT32,Subtropical,Late Autumn,7,11/25/15,2015-11-25T10:01:00Z,2015.899774,40.689,-40.441,41,29,37.4,36.3,750,,
AT32,Subtropical,Late Autumn,7,11/25/15,2015-11-25T10:01:00Z,2015.899774,40.689,-40.441,41,29,37.4,36.3,1000,,
AT32,Subtropical,Late Autumn,7,11/25/15,2015-11-25T10:01:00Z,2015.899774,40.689,-40.441,41,29,37.4,36.3,1250,,
AT32,Subtropical,Late Autumn,7,11/25/15,2015-11-25T10:01:00Z,2015.899774,40.689,-40.441,41,29,37.4,36.3,1500,,
AT34,Subpolar,Late Spring,0,5/17/16,2016-05-17T06:05:00Z,2016.375009,54.432,-46.138,54,32,13.01,2.52,0,,
AT34,Subpolar,Late Spring,0,5/17/16,2016-05-17T06:05:00Z,2016.375009,54.432,-46.138,54,32,13.01,2.52,5,9.7,
AT34,Subpolar,Late Spring,0,5/17/16,2016-05-17T06:05:00Z,2016.375009,54.432,-46.138,54,32,13.01,2.52,10,,
AT34,Subpolar,Late Spring,0,5/17/16,2016-05-17T06:05:00Z,2016.375009,54.432,-46.138,54,32,13.01,2.52,13.01,,
AT34,Subpolar,Late Spring,0,5/17/16,2016-05-17T06:05:00Z,2016.375009,54.432,-46.138,54,32,13.01,2.52,25,,
AT34,Subpolar,Late Spring,0,5/17/16,2016-05-17T06:05:00Z,2016.375009,54.432,-46.138,54,32,13.01,2.52,50,,
AT34,Subpolar,Late Spring,0,5/17/16,2016-05-17T06:05:00Z,2016.375009,54.432,-46.138,54,32,13.01,2.52,75,,
AT34,Subpolar,Late Spring,0,5/17/16,2016-05-17T06:05:00Z,2016.375009,54.432,-46.138,54,32,13.01,2.52,100,,
AT34,Subpolar,Late Spring,0,5/17/16,2016-05-17T06:05:00Z,2016.375009,54.432,-46.138,54,32,13.01,2.52,150,,
AT34,Subpolar,Late Spring,0,5/17/16,2016-05-17T06:05:00Z,2016.375009,54.432,-46.138,54,32,13.01,2.52,200,,
AT34,Subpolar,Late Spring,0,5/17/16,2016-05-17T06:05:00Z,2016.375009,54.432,-46.138,54,32,13.01,2.52,222.7,,
